datetukar;BS007;BS011;BS016;BS059;BS060;BS061;BS084;BS086;BS087;BS097;BS102;BS105;BS121;BS126;BS128;BS137;BS142;BS151;BS162;BS199;BS218;BS221;BS229;BS233;BS247;BS253;BS259;BS264;BS268;BS270;BS279;BS284;BS289;BS290
2023-12-01;56.0;77.0;9.0;37.0;88.0;77.0;11.0;39.0;12.0;5.0;69.0;34.0;47.0;89.0;14.0;25.0;31.0;33.0;82.0;89.0;67.0;37.0;47.0;47.0;26.0;80.0;96.0;1.0;68.0;22.0;4.0;3.0;4.0;2.0
2023-12-02;42.0;80.0;10.0;44.0;74.0;77.0;11.0;46.0;15.0;6.0;71.0;23.0;59.0;83.0;19.0;18.0;13.0;30.0;71.0;104.0;72.0;30.0;49.0;68.0;34.0;96.0;100.0;0.0;77.0;15.0;4.0;0.0;8.0;4.0
2023-12-03;53.0;70.0;5.0;41.0;92.0;68.0;10.0;55.0;11.0;9.0;70.0;40.0;65.0;78.0;19.0;24.0;11.0;28.0;80.0;73.0;66.0;30.0;40.0;76.0;24.0;70.0;85.0;0.0;66.0;22.0;3.0;3.0;4.0;2.0
2023-12-04;70.0;83.0;14.0;53.0;87.0;69.0;12.0;67.0;12.0;4.0;75.0;42.0;64.0;68.0;17.0;23.0;13.0;33.0;69.0;103.0;69.0;35.0;54.0;81.0;38.0;113.0;108.0;0.0;75.0;15.0;5.0;4.0;2.0;5.0
2023-12-05;52.0;81.0;12.0;31.0;79.0;80.0;8.0;49.0;14.0;2.0;71.0;38.0;75.0;76.0;19.0;30.0;13.0;39.0;63.0;103.0;64.0;43.0;40.0;108.0;7.0;86.0;119.0;0.0;86.0;27.0;3.0;3.0;0.0;4.0
2023-12-06;56.0;77.0;12.0;29.0;80.0;86.0;5.0;52.0;15.0;0.0;71.0;33.0;87.0;73.0;28.0;20.0;33.0;32.0;62.0;99.0;75.0;38.0;39.0;110.0;40.0;84.0;123.0;0.0;78.0;37.0;5.0;3.0;2.0;5.0
2023-12-07;54.0;81.0;13.0;32.0;62.0;78.0;12.0;68.0;8.0;2.0;67.0;17.0;65.0;57.0;44.0;19.0;42.0;35.0;62.0;99.0;69.0;28.0;31.0;76.0;38.0;93.0;114.0;0.0;80.0;29.0;2.0;4.0;9.0;7.0
2023-12-08;52.0;79.0;16.0;38.0;69.0;74.0;9.0;49.0;7.0;12.0;75.0;20.0;69.0;92.0;37.0;39.0;38.0;40.0;70.0;105.0;60.0;18.0;29.0;99.0;38.0;76.0;109.0;0.0;80.0;14.0;0.0;4.0;6.0;2.0
2023-12-09;43.0;83.0;8.0;40.0;52.0;72.0;7.0;42.0;8.0;7.0;91.0;18.0;73.0;82.0;24.0;27.0;37.0;36.0;63.0;88.0;71.0;20.0;30.0;102.0;29.0;64.0;87.0;0.0;76.0;0.0;0.0;1.0;6.0;1.0
2023-12-10;32.0;70.0;8.0;39.0;52.0;57.0;4.0;37.0;5.0;8.0;58.0;28.0;62.0;78.0;22.0;26.0;35.0;36.0;48.0;69.0;51.0;27.0;22.0;85.0;33.0;66.0;77.0;0.0;48.0;0.0;0.0;3.0;5.0;1.0
2023-12-11;47.0;78.0;13.0;41.0;69.0;82.0;7.0;50.0;8.0;3.0;77.0;33.0;65.0;81.0;37.0;33.0;30.0;34.0;66.0;96.0;80.0;22.0;15.0;112.0;43.0;73.0;110.0;0.0;78.0;10.0;3.0;3.0;10.0;4.0
2023-12-12;50.0;90.0;12.0;41.0;67.0;72.0;8.0;38.0;9.0;4.0;67.0;24.0;70.0;84.0;37.0;36.0;36.0;30.0;75.0;97.0;75.0;28.0;25.0;113.0;45.0;65.0;31.0;0.0;90.0;0.0;7.0;3.0;7.0;5.0
2023-12-13;49.0;75.0;6.0;26.0;87.0;78.0;7.0;50.0;9.0;46.0;64.0;14.0;66.0;79.0;44.0;43.0;30.0;26.0;90.0;96.0;77.0;21.0;22.0;119.0;32.0;67.0;93.0;0.0;72.0;0.0;11.0;4.0;5.0;4.0
2023-12-14;52.0;58.0;15.0;36.0;74.0;64.0;7.0;55.0;11.0;49.0;65.0;29.0;73.0;74.0;39.0;44.0;35.0;20.0;70.0;112.0;97.0;17.0;25.0;133.0;21.0;56.0;115.0;0.0;73.0;0.0;12.0;4.0;10.0;4.0
2023-12-15;43.0;63.0;11.0;37.0;71.0;71.0;7.0;43.0;7.0;0.0;54.0;38.0;56.0;72.0;42.0;36.0;33.0;22.0;59.0;117.0;68.0;18.0;44.0;121.0;40.0;61.0;104.0;0.0;68.0;0.0;10.0;4.0;10.0;3.0
2023-12-16;38.0;58.0;13.0;36.0;67.0;82.0;11.0;41.0;11.0;0.0;68.0;34.0;59.0;63.0;32.0;34.0;39.0;24.0;71.0;98.0;76.0;18.0;38.0;97.0;26.0;52.0;97.0;0.0;76.0;0.0;9.0;5.0;9.0;2.0
2023-12-17;41.0;64.0;9.0;34.0;49.0;53.0;3.0;44.0;7.0;0.0;52.0;20.0;52.0;70.0;26.0;35.0;28.0;21.0;50.0;107.0;45.0;16.0;31.0;93.0;32.0;59.0;95.0;0.0;60.0;0.0;8.0;4.0;5.0;3.0
2023-12-18;36.0;60.0;12.0;37.0;46.0;66.0;8.0;48.0;5.0;37.0;65.0;40.0;56.0;86.0;48.0;49.0;33.0;47.0;56.0;108.0;77.0;20.0;49.0;107.0;39.0;65.0;107.0;0.0;69.0;0.0;11.0;3.0;6.0;6.0
2023-12-19;46.0;54.0;7.0;36.0;66.0;59.0;7.0;49.0;6.0;32.0;74.0;38.0;49.0;85.0;40.0;53.0;32.0;40.0;48.0;97.0;69.0;25.0;40.0;95.0;46.0;60.0;102.0;0.0;62.0;0.0;7.0;3.0;8.0;0.0
2023-12-20;49.0;80.0;11.0;39.0;72.0;60.0;8.0;55.0;4.0;41.0;72.0;27.0;48.0;81.0;40.0;52.0;36.0;37.0;50.0;107.0;89.0;21.0;43.0;93.0;48.0;73.0;113.0;0.0;90.0;0.0;6.0;4.0;7.0;0.0
2023-12-21;58.0;59.0;10.0;43.0;67.0;64.0;7.0;55.0;3.0;46.0;60.0;30.0;56.0;75.0;43.0;51.0;29.0;37.0;59.0;108.0;58.0;19.0;35.0;100.0;37.0;69.0;114.0;0.0;78.0;0.0;8.0;3.0;8.0;0.0
2023-12-22;52.0;70.0;11.0;35.0;57.0;68.0;9.0;43.0;15.0;53.0;54.0;38.0;57.0;83.0;43.0;38.0;40.0;33.0;61.0;107.0;77.0;3.0;46.0;98.0;45.0;61.0;101.0;0.0;82.0;0.0;9.0;2.0;9.0;7.0
2023-12-23;44.0;55.0;14.0;33.0;56.0;71.0;5.0;56.0;14.0;35.0;63.0;33.0;63.0;81.0;47.0;43.0;38.0;35.0;66.0;94.0;61.0;0.0;35.0;105.0;46.0;67.0;90.0;0.0;71.0;0.0;6.0;3.0;8.0;4.0
2023-12-24;35.0;73.0;4.0;27.0;55.0;57.0;6.0;56.0;14.0;37.0;53.0;24.0;42.0;68.0;34.0;45.0;27.0;4.0;50.0;80.0;54.0;0.0;35.0;92.0;30.0;49.0;101.0;0.0;57.0;0.0;2.0;4.0;3.0;3.0
2023-12-25;39.0;54.0;9.0;26.0;57.0;57.0;8.0;39.0;7.0;31.0;64.0;23.0;40.0;62.0;27.0;30.0;25.0;0.0;51.0;64.0;39.0;0.0;31.0;92.0;35.0;49.0;76.0;0.0;50.0;0.0;4.0;1.0;4.0;3.0
2023-12-26;61.0;60.0;9.0;26.0;84.0;58.0;5.0;46.0;11.0;34.0;66.0;32.0;51.0;88.0;24.0;44.0;30.0;26.0;69.0;101.0;40.0;0.0;36.0;116.0;38.0;66.0;110.0;0.0;62.0;0.0;1.0;3.0;7.0;2.0
2023-12-27;46.0;65.0;9.0;32.0;68.0;73.0;6.0;43.0;16.0;53.0;71.0;28.0;51.0;96.0;30.0;33.0;35.0;32.0;44.0;95.0;63.0;0.0;46.0;100.0;39.0;50.0;108.0;0.0;68.0;0.0;3.0;4.0;7.0;7.0
2023-12-28;50.0;59.0;9.0;22.0;59.0;75.0;4.0;53.0;10.0;38.0;59.0;27.0;53.0;90.0;50.0;48.0;27.0;22.0;47.0;112.0;51.0;17.0;44.0;115.0;40.0;68.0;109.0;0.0;64.0;0.0;5.0;4.0;5.0;7.0
2023-12-29;0.0;66.0;9.0;31.0;70.0;59.0;7.0;53.0;14.0;51.0;64.0;36.0;54.0;92.0;38.0;49.0;39.0;31.0;54.0;122.0;42.0;30.0;43.0;102.0;33.0;75.0;109.0;0.0;76.0;0.0;5.0;1.0;3.0;4.0
2023-12-30;0.0;65.0;10.0;29.0;70.0;70.0;5.0;44.0;12.0;36.0;64.0;32.0;51.0;83.0;26.0;38.0;38.0;31.0;53.0;98.0;43.0;20.0;35.0;108.0;32.0;55.0;92.0;0.0;79.0;0.0;3.0;4.0;7.0;3.0
2023-12-31;0.0;66.0;12.0;14.0;55.0;46.0;5.0;46.0;6.0;38.0;52.0;17.0;39.0;69.0;27.0;30.0;20.0;51.0;42.0;64.0;47.0;15.0;31.0;71.0;19.0;59.0;71.0;0.0;53.0;0.0;3.0;1.0;3.0;3.0
